iteracion,rmse_t,rmse_v
0,1.304870,1.304940
1,1.211115,1.211232
2,1.151396,1.151545
3,1.112071,1.112243
4,1.086426,1.086611
5,1.067502,1.067697
6,1.053415,1.053616
7,1.042603,1.042808
8,1.034047,1.034252
9,1.027179,1.027384
10,1.021772,1.021977
11,1.017161,1.017365
12,1.013368,1.013568
13,1.010167,1.010364
14,1.007588,1.007784
15,1.005332,1.005526
16,1.003527,1.003721
17,1.002033,1.002226
18,1.000802,1.000992
19,0.999652,0.999841
20,0.998703,0.998892
21,0.997935,0.998124
22,0.997179,0.997369
23,0.996683,0.996870
24,0.996203,0.996390
25,0.995821,0.996008
26,0.995434,0.995623
27,0.995085,0.995275
28,0.994805,0.994995
29,0.994542,0.994731
30,0.994315,0.994502
31,0.994139,0.994327
32,0.993961,0.994150
33,0.993783,0.993972
34,0.993619,0.993809
35,0.993472,0.993663
36,0.993349,0.993542
37,0.993223,0.993416
38,0.993123,0.993316
39,0.993010,0.993203
40,0.992932,0.993125
41,0.992820,0.993016
42,0.992712,0.992908
43,0.992610,0.992808
44,0.992506,0.992704
45,0.992421,0.992620
46,0.992334,0.992534
47,0.992257,0.992457
48,0.992186,0.992391
49,0.992115,0.992319
